timestamp,symbol,open,high,low,close,volume,volume_buy,volume_sell,trade_count,vwap,volatility_hv,bid_ask_spread,ob_imbalance_5,ob_wall_bid,ob_wall_ask,flow_delta_1m,flow_delta_5m,large_trade_count,bid_qty_1,bid_qty_2,bid_qty_3,ask_qty_1,ask_qty_2,ask_qty_3,bid_price_1,ask_price_1,funding_rate,funding_predicted,open_interest,oi_change_1h,long_short_ratio,implied_volatility,iv_rank,delta_exposure,put_call_ratio_vol,put_call_ratio_oi,gamma_strike_1,gamma_strike_2,gamma_strike_3,theta,vega,whale_inflow,whale_outflow,news_sentiment,social_hype_index,fear_greed_index,correlation_spx,correlation_dxy,time_hour,time_day,is_weekend
2025-12-05 06:37:12.689+00,BTCUSDT,93337.89,93621.31,90889,92069.04,0.06054,,,5200867,92464.08647064,,0.010000000009313226,-0.34621946345757026,,,,,,2.70548,0.00147,0.00027,5.5346,6e-05,6e-05,92069.04,92069.05,,,250157,,,,,,,,,,,,,0,0,0,0.11286086,28,,,,,
2025-12-05 06:37:16.248+00,BTCUSDT,93329.74,93621.31,90889,92064.05,0.00325,,,5200919,92464.06418582,,0.010000000009313226,-0.09111488795872308,,,,,,3.88057,0.00135,0.00039,4.65661,6e-05,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:17.374+00,BTCUSDT,93329.73,93621.31,90889,92064.05,0.00825,,,5200918,92464.06106732,,0.010000000009313226,-0.3463464403752191,,,,,,2.25956,0.00147,0.00039,4.65759,0.00038,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:17.953+00,BTCUSDT,93329.74,93621.31,90889,92064.04,16775.34687,,,5200916,92464.06008801,,0.010000000009313226,-0.34448546710505423,,,,,,2.2688,0.00153,0.00039,4.65702,0.00038,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:20.066+00,BTCUSDT,93329.74,93621.31,90889,92064.04,0.00073,,,5200915,92464.05863006,,0.010000000009313226,-0.3407573985269849,,,,,,2.28901,0.00141,0.00045,4.65882,0.00038,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:20.993+00,BTCUSDT,93329.74,93621.31,90889,92064.04,16775.42028,,,5200920,92464.0562053,,0.010000000009313226,0.17260958368908372,,,,,,3.88546,0.00069,0.00045,2.74118,0.0011,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:22.363+00,BTCUSDT,93320.75,93621.31,90889,92064.04,0.00153,,,5200590,92464.04539868,,0.010000000009313226,-0.00023044389037806234,,,,,,2.8792,0.00081,0.00051,2.88512,0.0011,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:23.085+00,BTCUSDT,93320.75,93621.31,90889,92064.05,0.0001,,,5200587,92464.04363399,,0.010000000009313226,-0.10649457092009322,,,,,,2.69785,0.00069,0.00051,2.98884,0.00074,6e-05,92064.04,92064.05,,,250137,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:24.673+00,BTCUSDT,93320.74,93621.31,90889,92064.04,16773.67736,,,5200565,92463.96607881,,0.010000000009313226,-0.01833770563037285,,,,,,3.02582,0.00081,0.00051,2.89874,0.0008,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-05 06:37:26.465+00,BTCUSDT,93320.74,93621.31,90889,92064.05,16773.55562,,,5200555,92463.95974577,,0.010000000009313226,-0.09725537215008882,,,,,,2.4231,0.00081,0.00039,2.94612,0.00044,6e-05,92064.04,92064.05,,,,,,,,,,,,,,,,,,,,,,,,,
